2PA,3P,AST,Age,BLK,Draft Placing,MP,PF,PTS,STL,TOV,TRB,US or EU,eFG%
4.9,0.0,0.5,26,0.6,,14.4,1.5,5.4,0.3,0.5,2.8,US,47.5
5.4,0.0,0.8,26,0.8,,17.7,2.1,5.9,0.3,0.8,3.7,US,46.1
4.6,0.0,0.3,26,0.5,,12.3,1.1,5.0,0.2,0.3,2.1,US,48.5
4.6,0.0,0.4,27,0.3,,13.0,1.7,4.9,0.3,0.6,2.6,US,49.20000000000001
4.3,0.0,0.3,28,0.3,,10.6,1.4,4.0,0.3,0.4,2.0,US,41.5
4.5,0.0,0.6,29,0.4,,15.0,2.0,4.6,0.3,0.6,2.7,US,48.2
5.4,0.0,0.6,29,0.4,,15.9,1.9,5.4,0.3,0.7,2.7,US,47.7
2.6,0.0,0.6,29,0.4,,13.3,2.4,3.1,0.2,0.5,2.7,US,50.0
3.4,0.0,0.7,30,0.2,,11.8,1.8,3.2,0.1,0.4,2.1,US,42.9
2.2,0.0,0.3,31,0.1,,8.9,1.3,2.1,0.2,0.4,1.6,US,40.1
1.7,0.0,0.2,32,0.2,,9.9,1.7,1.3,0.1,0.2,1.8,US,35.5
1.3,0.0,0.0,26,0.0,,3.3,0.3,1.0,0.0,0.0,0.3,US,25.0
2.5,0.0,0.3,25,0.4,,12.8,1.8,2.8,0.2,1.2,1.9,US,41.4
8.7,0.0,1.2,29,0.5,,21.1,2.0,10.5,0.4,1.7,3.3,US,43.8
7.1,0.0,0.9,30,0.4,,20.9,2.1,7.9,0.3,1.5,3.3,US,40.0
3.1,0.0,0.5,31,0.2,,10.9,1.2,3.2,0.1,1.0,2.0,US,32.5
2.4,0.0,0.4,32,0.1,,9.5,1.0,2.0,0.3,0.7,1.5,US,31.4
2.9,0.0,0.3,23,1.2,,10.9,1.5,3.0,0.3,0.5,3.2,US,33.800000000000004
4.8,0.0,0.5,24,1.0,,15.4,1.5,5.2,0.5,1.0,4.6,US,40.0
2.8,0.0,0.5,25,1.6,,14.5,1.7,3.4,0.5,0.7,4.2,US,44.3
5.3,0.0,1.1,26,1.5,,21.3,2.1,7.7,0.2,1.0,6.1,US,53.40000000000001
3.1,0.0,0.2,27,1.3,,17.8,2.6,5.0,0.3,0.8,4.8,US,57.10000000000001
1.4,0.0,0.0,29,0.8,,6.8,1.2,1.2,0.0,0.2,1.8,US,28.6
4.0,0.0,0.4,30,2.5,,20.6,2.5,6.4,0.6,1.0,6.2,US,55.1
3.3,0.0,0.4,31,1.9,,22.3,2.3,5.9,0.6,0.8,6.4,US,56.60000000000001
3.0,0.0,0.4,32,1.3,,16.3,1.8,5.6,0.5,0.6,4.9,US,59.9
3.4,0.0,0.2,33,1.4,,15.2,1.6,5.3,0.6,0.5,4.6,US,54.6
2.9,0.0,0.4,34,1.0,,14.9,2.1,4.9,0.4,0.6,4.1,US,58.5
3.7,0.0,0.3,35,1.3,,19.4,2.3,6.6,0.4,0.7,5.3,US,64.9
3.2,0.1,0.7,36,1.0,,18.9,1.5,5.3,0.4,0.7,5.0,US,58.9
2.1,0.1,0.4,37,0.5,,14.9,1.1,3.9,0.6,0.3,3.6,US,55.60000000000001
0.7,0.3,0.4,37,0.4,,5.1,0.6,1.9,0.1,0.3,1.3,US,50.0
2.7,0.1,0.5,37,0.5,,18.3,1.3,4.6,0.7,0.4,4.5,US,56.49999999999999
1.6,0.0,0.4,38,0.6,,9.5,1.7,2.3,0.4,0.4,2.6,US,40.9
9.2,0.0,1.0,23,1.5,23.0,24.2,2.8,11.7,0.7,1.7,6.3,US,50.2
11.1,0.0,0.7,24,1.3,23.0,29.3,2.7,13.7,1.2,2.2,8.2,US,50.3
7.2,0.0,0.4,25,0.9,23.0,21.5,2.9,8.8,0.5,1.3,6.2,US,50.7
4.0,0.0,0.2,26,0.7,23.0,13.6,2.1,4.3,0.5,1.2,4.7,US,43.0
2.8,0.0,0.1,26,0.3,23.0,9.5,1.1,2.7,0.3,0.8,2.9,US,37.0
4.0,0.0,1.0,26,0.0,23.0,18.0,4.0,8.0,2.0,1.0,6.0,US,100.0
4.7,0.0,0.3,26,0.9,23.0,16.1,2.6,5.2,0.6,1.5,5.8,US,44.0
10.4,0.0,1.0,27,0.8,23.0,34.1,3.2,11.5,1.1,2.5,11.5,US,45.6
4.8,0.0,0.7,29,0.9,23.0,21.1,3.0,6.4,0.7,1.2,7.4,US,54.50000000000001
2.0,0.0,0.3,30,0.6,23.0,12.2,2.0,2.9,0.5,0.6,3.7,US,54.79999999999999
1.0,0.0,0.2,31,0.5,23.0,7.5,1.4,1.2,0.2,0.5,2.2,US,51.1
3.2,0.0,0.4,32,0.8,23.0,20.2,2.7,3.9,0.8,0.9,5.5,US,49.6
1.5,0.0,0.3,33,0.2,23.0,8.0,1.7,1.8,0.4,0.3,2.4,US,44.4
5.3,0.1,1.5,22,0.3,32.0,16.3,2.2,5.2,0.7,1.2,3.5,US,41.2
