,2P,2P%,2PA,3P,3PA,AST,Age,BLK,Country or State,DRB,Draft Placing,FG,FG%,FGA,FT,FTA,G,GS,Height,MP,ORB,PF,PTS,STL,Season,TOV,TRB,Tm,US or EU,Weight,Year in League,eFG%
108,1.1,44.7,2.4,0.1,0.3,0.6,26,0.1,california,1.1,32.0,1.2,0.424,2.7,0.4,0.6,51,0.0,2.0828,6.1,0.5,0.7,2.8,0.1,1986-87,0.4,1.5,HOU,US,108.86229826455354,5.0,43.9
109,1.7,42.6,3.9,0.6,2.0,1.5,27,0.2,california,2.9,32.0,2.3,0.39,5.9,0.8,1.0,74,3.0,2.0828,18.2,1.2,1.9,6.1,0.7,1987-88,0.8,4.1,TOT,US,108.86229826455354,6.0,44.4
110,0.4,45.5,0.9,0.5,1.3,0.3,27,0.0,california,0.7,32.0,0.9,0.423,2.2,0.3,0.4,12,0.0,2.0828,4.4,0.8,0.3,2.7,0.1,1987-88,0.1,1.4,HOU,US,108.86229826455354,7.0,53.79999999999999
111,1.9,42.4,4.5,0.7,2.2,1.7,27,0.3,california,3.3,32.0,2.6,0.387,6.7,0.9,1.2,62,3.0,2.0828,20.9,1.3,2.1,6.7,0.8,1987-88,1.0,4.6,POR,US,108.86229826455354,8.0,43.8
112,1.3,46.400000000000006,2.9,0.7,2.0,1.4,28,0.2,california,2.3,32.0,2.0,0.417,4.8,0.4,0.5,72,3.0,2.0828,15.0,0.9,1.4,5.2,0.6,1988-89,0.8,3.2,POR,US,108.86229826455354,9.0,48.699999999999996
113,0.9,45.9,2.1,0.7,1.9,1.0,29,0.2,california,1.7,32.0,1.6,0.417,3.9,0.3,0.4,54,2.0,2.0828,11.2,0.6,1.2,4.3,0.4,1989-90,0.5,2.4,CHH,US,108.86229826455354,10.0,50.5
114,0.0,0.0,0.2,0.0,0.0,0.0,19,0.0,lithuania,0.5,44.0,0.0,0.0,0.2,0.0,0.0,6,0.0,2.1844,1.5,0.2,0.2,0.0,0.3,2005-06,0.0,0.7,CLE,EU,108.86229826455354,1.0,0.0
115,0.4,44.4,0.8,0.0,0.0,0.0,19,0.3,california,0.4,47.0,0.4,0.444,0.8,0.5,0.5,11,0.0,2.0828,2.7,0.5,0.1,1.2,0.1,2017-18,0.2,0.8,IND,US,114.30541317778122,1.0,44.4
116,1.2,46.7,2.5,0.0,0.0,0.1,25,1.3,canada,2.3,,1.2,0.467,2.5,1.2,2.0,24,1.0,2.0574000000000003,20.8,1.6,2.3,3.5,0.4,2007-08,0.7,3.9,MIA,US,111.13026281173174,1.0,46.7
117,0.9,48.3,1.8,0.0,0.0,0.4,26,1.4,canada,1.7,,0.9,0.483,1.8,0.5,0.7,65,28.0,2.0574000000000003,16.1,1.4,2.1,2.2,0.3,2008-09,0.6,3.0,MIA,US,111.13026281173174,2.0,48.3
118,1.0,47.8,2.0,0.0,0.0,0.2,27,1.4,canada,1.6,,1.0,0.478,2.0,0.8,1.2,80,16.0,2.0574000000000003,16.5,1.5,2.0,2.7,0.3,2009-10,0.6,3.1,MIA,US,111.13026281173174,3.0,47.8
119,0.7,53.5,1.3,0.0,0.0,0.3,28,1.2,canada,2.2,,0.7,0.535,1.3,0.6,1.0,75,11.0,2.0574000000000003,19.5,1.4,2.6,2.0,0.1,2010-11,0.5,3.5,MIA,US,111.13026281173174,4.0,53.5
120,1.3,55.89999999999999,2.4,0.0,0.0,0.1,29,1.3,canada,2.3,,1.3,0.5589999999999999,2.4,0.8,1.1,64,51.0,2.0574000000000003,21.1,1.6,2.0,3.4,0.6,2011-12,0.7,3.9,MIA,US,111.13026281173174,5.0,55.89999999999999
121,0.6,51.5,1.1,0.0,0.0,0.2,30,0.7,canada,1.1,,0.6,0.515,1.1,0.3,0.5,62,3.0,2.0574000000000003,9.1,0.7,0.8,1.4,0.2,2012-13,0.4,1.9,MIA,US,111.13026281173174,6.0,51.5
122,0.4,37.5,1.0,0.0,0.0,0.1,31,0.4,canada,0.7,,0.4,0.375,1.0,0.1,0.2,33,0.0,2.0574000000000003,5.6,0.5,0.5,0.8,0.1,2013-14,0.1,1.2,TOT,US,111.13026281173174,7.0,37.5
123,0.2,33.300000000000004,0.5,0.0,0.0,0.0,31,0.3,canada,0.4,,0.2,0.333,0.5,0.2,0.2,12,0.0,2.0574000000000003,3.1,0.2,0.3,0.5,0.0,2013-14,0.1,0.6,MIA,US,111.13026281173174,8.0,33.300000000000004
124,0.5,38.5,1.2,0.0,0.0,0.1,31,0.4,canada,0.9,,0.5,0.385,1.2,0.1,0.3,21,0.0,2.0574000000000003,7.1,0.6,0.6,1.0,0.1,2013-14,0.1,1.5,BOS,US,111.13026281173174,9.0,38.5
125,0.7,58.099999999999994,1.3,0.0,0.0,0.1,32,1.0,canada,1.2,,0.7,0.581,1.3,0.3,0.4,49,0.0,2.0574000000000003,8.3,0.7,1.1,1.8,0.2,2014-15,0.2,1.9,DET,US,111.13026281173174,10.0,58.099999999999994
126,0.3,60.0,0.5,0.0,0.0,0.1,33,0.6,canada,0.7,,0.3,0.6,0.5,0.3,0.4,19,0.0,2.0574000000000003,5.1,0.4,0.8,0.9,0.1,2015-16,0.1,1.1,DET,US,111.13026281173174,11.0,60.0
127,0.5,62.5,0.8,0.0,0.0,0.2,34,0.3,canada,1.2,,0.5,0.625,0.8,0.3,0.4,19,0.0,2.0574000000000003,6.4,0.4,0.6,1.3,0.1,2016-17,0.2,1.6,SAS,US,111.13026281173174,12.0,62.5
128,1.3,54.50000000000001,2.5,1.1,3.4,1.2,31,0.2,fyr macedonia,3.0,,2.5,0.418,5.9,1.0,1.3,50,26.0,2.1082,18.5,1.1,2.5,7.0,0.4,2013-14,1.1,4.2,ATL,EU,117.93415645326634,1.0,51.4
129,0.9,45.5,2.0,0.8,2.7,0.8,32,0.2,fyr macedonia,2.1,,1.7,0.365,4.7,1.4,2.0,63,3.0,2.1082,16.5,0.9,2.1,5.7,0.3,2014-15,0.8,3.0,ATL,EU,117.93415645326634,2.0,45.300000000000004
130,1.2,54.400000000000006,2.2,0.0,0.0,0.2,22,0.5,new york,1.6,12.0,1.2,0.544,2.2,0.7,1.2,56,5.0,2.1082,11.3,1.0,1.4,3.1,0.2,2006-07,0.6,2.7,NOK,US,106.59433371737532,1.0,54.400000000000006
131,1.0,45.300000000000004,2.3,0.0,0.0,0.4,23,0.5,new york,1.5,12.0,1.0,0.453,2.3,0.7,1.1,65,3.0,2.1082,11.3,1.0,2.0,2.7,0.2,2007-08,0.9,2.5,NOH,US,106.59433371737532,2.0,45.300000000000004
132,2.0,56.60000000000001,3.5,0.0,0.0,0.4,24,0.6,new york,1.6,12.0,2.0,0.561,3.5,0.9,1.4,70,29.0,2.1082,15.6,1.2,2.6,4.8,0.4,2008-09,1.1,2.8,NOH,US,106.59433371737532,3.0,56.10000000000001
133,0.8,35.9,2.4,0.0,0.0,0.6,25,0.4,new york,1.6,12.0,0.8,0.354,2.4,0.5,1.0,33,0.0,2.1082,10.2,0.8,1.8,2.2,0.5,2009-10,0.7,2.5,TOT,US,106.59433371737532,4.0,35.4
134,1.1,38.0,2.8,0.0,0.0,0.9,25,0.4,new york,2.4,12.0,1.1,0.38,2.8,0.7,1.6,18,0.0,2.1082,13.3,0.9,2.4,2.8,0.4,2009-10,0.7,3.4,NOH,US,106.59433371737532,5.0,38.0
